,user_id,has_success_hard_attempts
0,2,False
1,3,False
2,8,False
3,14,False
4,16,True
5,17,False
6,22,True
7,25,False
8,26,True
9,30,False
10,31,False
11,32,False
12,34,True
13,39,False
14,43,True
15,44,False
16,46,True
17,49,False
18,50,False
19,54,False
20,57,True
21,60,True
22,63,False
23,66,False
24,67,True
25,68,False
26,70,False
27,73,False
28,75,False
29,76,False
30,78,False
31,80,True
32,89,True
33,91,True
34,94,False
35,95,False
36,96,False
37,97,False
38,100,True
39,101,False
40,104,False
41,108,False
42,111,True
43,115,False
44,120,False
45,121,False
46,127,True
47,129,False
48,130,False
49,133,False
50,138,True
51,144,False
52,152,False
53,156,False
54,157,True
55,166,True
56,168,True
57,169,False
58,171,False
59,175,False
60,176,False
61,179,False
62,183,True
63,184,False
64,192,False
65,193,True
66,196,False
67,202,True
68,215,True
69,219,False
70,220,False
71,223,False
72,225,False
73,226,True
74,227,True
75,229,True
76,230,False
77,231,True
78,232,False
79,239,False
80,240,False
81,246,False
82,250,True
83,251,True
84,258,False
85,259,False
86,263,True
87,264,False
88,277,False
89,279,False
90,282,False
91,284,True
92,287,False
93,290,False
94,294,False
95,295,True
96,296,False
97,297,False
98,299,True
99,301,False
100,302,False
101,307,False
102,311,False
103,313,False
104,316,True
105,322,False
106,323,False
107,332,True
108,334,False
109,336,True
110,337,False
111,340,False
112,344,True
113,345,False
114,350,True
115,353,False
116,357,False
117,361,True
118,364,False
119,368,False
120,379,True
121,383,True
122,385,False
123,387,True
124,394,False
125,395,True
126,397,False
127,399,False
128,404,False
129,410,False
130,413,False
131,420,True
132,422,True
133,427,False
134,428,False
135,432,False
136,433,False
137,434,False
138,437,True
139,438,False
140,439,True
141,440,False
142,442,False
143,443,False
144,444,False
145,445,False
146,446,True
147,450,False
148,453,True
149,461,False
150,463,False
151,468,False
152,472,True
153,477,False
154,481,False
155,482,False
156,488,False
157,489,False
158,490,True
159,493,False
160,495,False
161,496,True
162,501,True
163,502,False
164,505,True
165,506,False
166,508,True
167,509,False
168,512,True
169,517,False
170,519,False
171,520,True
172,521,False
173,523,False
174,525,False
175,528,True
176,533,False
177,539,False
178,541,True
179,542,True
180,544,False
181,550,False
182,551,False
183,553,True
184,555,False
185,560,True
186,564,True
187,568,False
188,569,True
189,572,True
190,573,False
191,576,False
192,577,False
193,580,False
194,581,False
195,587,True
196,589,True
197,590,False
198,591,True
199,594,False
200,595,False
201,596,True
202,604,True
203,605,True
204,606,False
205,608,True
206,610,False
207,616,False
208,618,False
209,620,False
210,622,False
211,624,False
212,630,False
213,632,False
214,635,False
215,638,True
216,644,False
217,645,True
218,648,False
219,651,False
220,653,False
221,655,True
222,657,True
223,660,False
224,665,False
225,667,False
226,669,False
227,673,False
228,675,True
229,676,False
230,677,True
231,678,True
232,679,False
233,681,True
234,682,False
235,685,False
236,686,True
237,687,False
238,689,True
239,691,False
240,692,False
241,694,False
242,695,False
243,697,False
244,698,False
245,699,True
246,701,False
247,702,True
248,703,False
249,708,False
250,709,True
251,710,True
252,713,True
253,716,True
254,717,False
255,721,True
256,722,False
257,724,True
258,727,False
259,729,False
260,732,False
261,735,True
262,738,False
263,740,True
264,752,True
265,753,False
266,755,False
267,756,False
268,759,False
269,763,False
270,764,True
271,766,True
272,767,False
273,768,False
274,769,False
275,771,True
276,773,False
277,774,False
278,775,False
279,777,False
280,778,True
281,780,False
282,781,True
283,782,False
284,783,False
285,785,True
286,790,True
287,791,True
288,793,True
289,795,False
290,797,False
291,799,False
292,802,False
293,803,False
294,808,True
295,809,True
296,811,False
297,812,False
298,815,True
299,816,False
300,819,True
301,822,True
302,823,False
303,824,True
304,825,False
305,826,True
306,827,True
307,828,False
308,830,False
309,831,True
310,833,False
311,834,True
312,836,False
313,838,True
314,839,False
315,841,True
316,847,False
317,851,False
318,852,False
319,853,False
320,854,True
321,856,False
322,863,True
323,865,True
324,868,False
325,871,False
326,873,True
327,875,False
328,876,False
329,883,True
330,888,True
331,890,False
332,893,False
333,899,True
334,902,True
335,903,True
336,906,False
337,908,False
338,909,True
339,910,False
340,911,True
341,915,True
342,919,False
343,921,False
344,922,False
345,927,True
346,928,False
347,931,True
348,934,True
349,938,True
350,939,False
351,940,True
352,942,False
353,943,False
354,944,True
355,947,False
